"","Name","Platform","Year_of_Release","Genre","Publisher","EU_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Rating","Name_imp","Platform_imp","Year_of_Release_imp","Genre_imp","Publisher_imp","EU_Sales_imp","Global_Sales_imp","Critic_Score_imp","Critic_Count_imp","User_Score_imp","User_Count_imp","Rating_imp"
"13123","The BIGS 2","DS",2009,"Sports","Take-Two Interactive",0,0.05,49,10,6.55,10,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13124","Sacred 3","X360",2014,"Role-Playing","Deep Silver",0.02,0.05,51,11,4.1,42,"M",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13125","Captain America: Super Soldier","DS",2011,"Action","Sega",0,0.05,67,6,7.05,17,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13126","Lagoon","SNES",1991,"Role-Playing","Kemco",0,0.05,66,9,6.7,9,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13127","DoDonPachi Resurrection","X360",2010,"Shooter","Rising Star Games",0.04,0.05,77,10,8.6,16,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13128","MorphX","X360",2010,"Shooter","505 Games",0,0.05,33,4,6.6,15,"M",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13129","Trick x Logic: Season 1","PSP",2010,"Adventure","Sony Computer Entertainment",0,0.05,62,13,5.65,9,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13130","Mawashite Tsunageru Touch Panic","DS",2006,"Puzzle","Nintendo",0,0.05,64,10,7.4,9,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13131","Monster! Bass Fishing","GBA",2003,"Sports","Ignition Entertainment",0.01,0.05,58,11,8.15,7,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13132","Sigma Star Saga","GBA",2005,"Role-Playing","Atari",0.01,0.05,68,34,8.4,7,"E10+",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13133","Winning Post 7 2010","PSP",2010,"Sports","Tecmo Koei",0,0.05,62,13,5.65,9,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
